"acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_facetest_response","correct_instructions","correct_sexrating_response","count_blank100","count_exemplarsequence","count_experiment","count_exposure","count_exposuresequence","count_faceexpose","count_facetest","count_facetest_response","count_instructions","count_logger","count_notes","count_sexrating","count_sexrating_response","count_test","count_testinstructions","datetime","description","disable_garbage_collection","experiment_file","experiment_path","faceno","fname","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_exposure","logfile","mouse_backend","opensesame_codename","opensesame_version","phase","repeat_cycle","response","response_facetest_response","response_instructions","response_sexrating_response","response_testinstructions","response_time","response_time_facetest_response","response_time_instructions","response_time_sexrating_response","response_time_testinstructions","round_decimals","sampler_backend","shifttype","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","synth_backend","time_blank100","time_exemplarsequence","time_experiment","time_exposure","time_exposuresequence","time_faceexpose","time_facetest","time_facetest_response","time_instructions","time_logger","time_notes","time_sexrating","time_sexrating_response","time_test","time_testinstructions","title","total_correct","total_response_time","total_responses","transparent_variables","type","uniform_coordinates","width","xshift","yshift"
"undefined","undefined","799.761904762","799.761904762","white","no","legacy","legacy","legacy","0","relative","undefined","NA","undefined","undefined","20","NA","0","0","20","20","NA","NA","0","20","0","20","20","0","0","Wed 30 Oct 2019 11:28:06 GMT","","yes","facialproto_short.osexp","/home/andy/svn/rmip/docs/openseslib","2","0280.png","no","mono","no","18","no","black","no","no","1080","legacy","20","20","/home/andy/svn/rmip/docs/openseslib/subject-3.csv","legacy","Kafkaesque Koffka","3.2.7","exposure","0","6","NA","space","6","NA","750","NA","801","750","NA","2","legacy","horizontal","1024","2","48000","-16","experiment","3","odd","legacy","41603","NA","636","1442","41600","41705","NA","NA","641","43457","NA","42707","42707","NA","NA","Feature Shift Prototypes","0","16795","21","no","NA","no","1920","8","0"
"undefined","undefined","806.227272727","806.227272727","white","no","legacy","legacy","legacy","0","relative","undefined","NA","undefined","undefined","21","NA","0","0","21","21","NA","NA","0","21","0","21","21","0","0","Wed 30 Oct 2019 11:28:06 GMT","","yes","facialproto_short.osexp","/home/andy/svn/rmip/docs/openseslib","4","0480.png","no","mono","no","18","no","black","no","no","1080","legacy","21","21","/home/andy/svn/rmip/docs/openseslib/subject-3.csv","legacy","Kafkaesque Koffka","3.2.7","exposure","0","4","NA","space","4","NA","942","NA","801","942","NA","2","legacy","horizontal","1024","2","48000","-16","experiment","3","odd","legacy","43538","NA","636","1442","43535","43640","NA","NA","641","45585","NA","44642","44643","NA","NA","Feature Shift Prototypes","0","17737","22","no","NA","no","1920","8","0"
"undefined","undefined","803.434782609","803.434782609","white","no","legacy","legacy","legacy","0","relative","undefined","NA","undefined","undefined","22","NA","0","0","22","22","NA","NA","0","22","0","22","22","0","0","Wed 30 Oct 2019 11:28:06 GMT","","yes","facialproto_short.osexp","/home/andy/svn/rmip/docs/openseslib","1","0108.png","no","mono","no","18","no","black","no","no","1080","legacy","22","22","/home/andy/svn/rmip/docs/openseslib/subject-3.csv","legacy","Kafkaesque Koffka","3.2.7","exposure","0","6","NA","space","6","NA","742","NA","801","742","NA","2","legacy","vertical","1024","2","48000","-16","experiment","3","odd","legacy","45682","NA","636","1442","45679","45784","NA","NA","641","47529","NA","46787","46787","NA","NA","Feature Shift Prototypes","0","18479","23","no","NA","no","1920","0","8"
"undefined","undefined","803.708333333","803.708333333","white","no","legacy","legacy","legacy","0","relative","undefined","NA","undefined","undefined","23","NA","0","0","23","23","NA","NA","0","23","0","23","23","0","0","Wed 30 Oct 2019 11:28:06 GMT","","yes","facialproto_short.osexp","/home/andy/svn/rmip/docs/openseslib","3","030-8.png","no","mono","no","18","no","black","no","no","1080","legacy","23","23","/home/andy/svn/rmip/docs/openseslib/subject-3.csv","legacy","Kafkaesque Koffka","3.2.7","exposure","0","4","NA","space","4","NA","810","NA","801","810","NA","2","legacy","vertical","1024","2","48000","-16","experiment","3","odd","legacy","47623","NA","636","1442","47620","47725","NA","NA","641","49537","NA","48727","48727","NA","NA","Feature Shift Prototypes","0","19289","24","no","NA","no","1920","0","-8"
"undefined","undefined","802.12","802.12","white","no","legacy","legacy","legacy","0","relative","undefined","NA","undefined","undefined","24","NA","0","0","24","24","NA","NA","0","24","0","24","24","0","0","Wed 30 Oct 2019 11:28:06 GMT","","yes","facialproto_short.osexp","/home/andy/svn/rmip/docs/openseslib","1","010-8.png","no","mono","no","18","no","black","no","no","1080","legacy","24","24","/home/andy/svn/rmip/docs/openseslib/subject-3.csv","legacy","Kafkaesque Koffka","3.2.7","exposure","0","6","NA","space","6","NA","764","NA","801","764","NA","2","legacy","vertical","1024","2","48000","-16","experiment","3","odd","legacy","49619","NA","636","1442","49616","49721","NA","NA","641","51489","NA","50724","50724","NA","NA","Feature Shift Prototypes","0","20053","25","no","NA","no","1920","0","-8"
"undefined","undefined","797.769230769","797.769230769","white","no","legacy","legacy","legacy","0","relative","undefined","NA","undefined","undefined","25","NA","0","0","25","25","NA","NA","0","25","0","25","25","0","0","Wed 30 Oct 2019 11:28:06 GMT","","yes","facialproto_short.osexp","/home/andy/svn/rmip/docs/openseslib","8","0880.png","no","mono","no","18","no","black","no","no","1080","legacy","25","25","/home/andy/svn/rmip/docs/openseslib/subject-3.csv","legacy","Kafkaesque Koffka","3.2.7","exposure","0","4","NA","space","4","NA","689","NA","801","689","NA","2","legacy","horizontal","1024","2","48000","-16","experiment","3","odd","legacy","51588","NA","636","1442","51585","51701","NA","NA","641","53393","NA","52704","52704","NA","NA","Feature Shift Prototypes","0","20742","26","no","NA","no","1920","8","0"
"undefined","undefined","800.037037037","800.037037037","white","no","legacy","legacy","legacy","0","relative","undefined","NA","undefined","undefined","26","NA","0","0","26","26","NA","NA","0","26","0","26","26","0","0","Wed 30 Oct 2019 11:28:06 GMT","","yes","facialproto_short.osexp","/home/andy/svn/rmip/docs/openseslib","5","050-8.png","no","mono","no","18","no","black","no","no","1080","legacy","26","26","/home/andy/svn/rmip/docs/openseslib/subject-3.csv","legacy","Kafkaesque Koffka","3.2.7","exposure","0","6","NA","space","6","NA","859","NA","801","859","NA","2","legacy","vertical","1024","2","48000","-16","experiment","3","odd","legacy","53476","NA","636","1442","53473","53578","NA","NA","641","55441","NA","54580","54581","NA","NA","Feature Shift Prototypes","0","21601","27","no","NA","no","1920","0","-8"
"undefined","undefined","799.035714286","799.035714286","white","no","legacy","legacy","legacy","0","relative","undefined","NA","undefined","undefined","27","NA","0","0","27","27","NA","NA","0","27","0","27","27","0","0","Wed 30 Oct 2019 11:28:06 GMT","","yes","facialproto_short.osexp","/home/andy/svn/rmip/docs/openseslib","3","0308.png","no","mono","no","18","no","black","no","no","1080","legacy","27","27","/home/andy/svn/rmip/docs/openseslib/subject-3.csv","legacy","Kafkaesque Koffka","3.2.7","exposure","0","4","NA","space","4","NA","772","NA","801","772","NA","2","legacy","vertical","1024","2","48000","-16","experiment","3","odd","legacy","55523","NA","636","1442","55520","55625","NA","NA","641","57401","NA","56627","56628","NA","NA","Feature Shift Prototypes","0","22373","28","no","NA","no","1920","0","8"
"undefined","undefined","791.24137931","791.24137931","white","no","legacy","legacy","legacy","0","relative","undefined","NA","undefined","undefined","28","NA","0","0","28","28","NA","NA","0","28","0","28","28","0","0","Wed 30 Oct 2019 11:28:06 GMT","","yes","facialproto_short.osexp","/home/andy/svn/rmip/docs/openseslib","7","070-8.png","no","mono","no","18","no","black","no","no","1080","legacy","28","28","/home/andy/svn/rmip/docs/openseslib/subject-3.csv","legacy","Kafkaesque Koffka","3.2.7","exposure","0","5","NA","space","5","NA","573","NA","801","573","NA","2","legacy","vertical","1024","2","48000","-16","experiment","3","odd","legacy","57481","NA","636","1442","57479","57584","NA","NA","641","59159","NA","58586","58586","NA","NA","Feature Shift Prototypes","0","22946","29","no","NA","no","1920","0","-8"
"undefined","undefined","781.333333333","781.333333333","white","no","legacy","legacy","legacy","0","relative","undefined","NA","undefined","undefined","29","NA","0","0","29","29","NA","NA","0","29","0","29","29","0","0","Wed 30 Oct 2019 11:28:06 GMT","","yes","facialproto_short.osexp","/home/andy/svn/rmip/docs/openseslib","5","050-8.png","no","mono","no","18","no","black","no","no","1080","legacy","29","29","/home/andy/svn/rmip/docs/openseslib/subject-3.csv","legacy","Kafkaesque Koffka","3.2.7","exposure","0","3","NA","space","3","NA","494","NA","801","494","NA","2","legacy","vertical","1024","2","48000","-16","experiment","3","odd","legacy","59259","NA","636","1442","59256","59361","NA","NA","641","60858","NA","60363","60363","NA","NA","Feature Shift Prototypes","0","23440","30","no","NA","no","1920","0","-8"
