"ID","sex","native","blind","hours","job","income","education"
236,"female","native","no",NA,"charity",84051,"grade-school"
237,"male","native","no",40,"private",90105,"high-school"
238,"female","native",NA,NA,NA,645390,"grade-school"
239,"female","native","no",NA,"private",18011,"high-school"
240,"female","foreign","no",NA,NA,7915,"grade-school"
241,"female","native","no",43,"private",19723,"bachelor"
242,"female","native","no",NA,NA,70734,"grade-school"
243,"male","native","no",40,"charity",33039,"high-school"
244,"female","native","no",NA,NA,65243,"high-school"
245,"female","native","no",40,"private",40735,"high-school"
246,"female","native","no",37,"public",35322,"high-school"
247,"female","native","no",40,"private",57714,"high-school"
248,"female","native",NA,NA,NA,47215,"grade-school"
249,"male","native","no",NA,NA,4811,"high-school"
250,"female","native","no",NA,NA,2013,"high-school"
251,"female","native",NA,NA,NA,111941,"grade-school"
252,"male","native","no",NA,NA,53730,"high-school"
253,"male","native","no",40,"private",42406,"bachelor"
254,"female","native",NA,NA,NA,111010,"grade-school"
255,"female","native","no",40,"private",122323,"high-school"
256,"female","native","no",30,"private",69598,"high-school"
257,"male","native","no",NA,"private",67676,"high-school"
258,"female","native","no",6,"charity",109538,"high-school"
259,"male","native","no",70,"private",49475,"bachelor"
260,"female","native","no",NA,NA,7777,"high-school"
261,"male","native","no",NA,NA,32231,"grade-school"
262,"male","native","no",20,"public",33593,"bachelor"
263,"male","native",NA,NA,NA,19776,"grade-school"
264,"male","native","no",NA,"private",4486,"high-school"
265,"female","native","no",40,"public",43534,"grade-school"
266,"female","native","yes",35,"private",52928,"high-school"
267,"male","native",NA,NA,NA,101457,"grade-school"
268,"male","native",NA,NA,NA,16117,"grade-school"
269,"female","native",NA,NA,NA,23549,"grade-school"
270,"female","native","no",NA,NA,46645,"grade-school"
271,"male","native",NA,NA,NA,53758,"grade-school"
272,"female","foreign","no",20,"private",141543,"high-school"
273,"female","native","yes",NA,NA,93746,"grade-school"
274,"male","native",NA,NA,NA,84540,"grade-school"
275,"male","native","no",60,"private",85187,"high-school"
276,"female","native",NA,NA,NA,18399,"grade-school"
277,"female","native","no",NA,NA,126951,"grade-school"
278,"male","native","no",45,"private",41349,"high-school"
279,"female","foreign","no",NA,NA,47955,"high-school"
280,"male","foreign","no",NA,NA,144897,"high-school"
281,"male","native","no",NA,NA,34569,"grade-school"
282,"male","foreign","no",NA,NA,21428,"high-school"
283,"female","native","no",NA,NA,22561,"high-school"
284,"female","foreign","no",40,"private",73844,"high-school"
285,"male","native","no",40,"private",66606,"high-school"
286,"male","native","no",60,"public",64416,"bachelor"
287,"male","native","no",40,"private",61854,"high-school"
288,"female","native","no",45,"public",86681,"bachelor"
289,"male","native","no",40,"private",123162,"high-school"
290,"male","native","no",40,"private",102277,"bachelor"
291,"male","native","no",30,"private",55612,"bachelor"
292,"female","native","no",22,"private",5943,"grade-school"
293,"female","native","no",NA,NA,29893,"high-school"
294,"female","native","no",NA,NA,381263,"high-school"
295,"female","native","no",50,"private",88069,"bachelor"
296,"female","native","no",NA,NA,29074,"master"
297,"female","native","no",40,"private",78072,"bachelor"
298,"male","foreign","no",40,"private",135056,"high-school"
299,"female","native","no",NA,NA,84701,"master"
300,"female","native","no",40,"public",91113,"master"
301,"female","foreign","no",40,"private",47753,"high-school"
302,"female","native","no",NA,NA,36378,"high-school"
303,"male","native","no",40,"private",51405,"high-school"
304,"female","native","no",NA,NA,22100,"master"
305,"female","native",NA,NA,NA,16396,"grade-school"
306,"male","native",NA,NA,NA,65789,"grade-school"
307,"female","native","no",40,"private",23151,"high-school"
308,"male","native","no",40,"private",1074,"high-school"
309,"male","native",NA,NA,NA,22227,"grade-school"
310,"female","native",NA,NA,NA,104119,"grade-school"
311,"male","native",NA,NA,NA,53963,"grade-school"
312,"male","native","no",NA,NA,75056,"high-school"
313,"male","native",NA,NA,NA,16062,"grade-school"
314,"male","native","no",NA,NA,86734,"high-school"
315,"female","native","no",40,"private",82434,"high-school"
316,"female","native","no",40,"private",55253,"high-school"
317,"male","native","no",NA,NA,71952,"bachelor"
318,"male","native",NA,NA,NA,78087,"grade-school"
