UnRowID,SRN,cond,type,qu,rating
347,1003738,remain,dom,14,2
348,1003738,remain,dom,15,4
349,1003738,remain,dom,16,3
350,1003738,remain,auth,1,4
351,1003738,remain,auth,2,4
352,1003738,remain,auth,3,5
353,1003738,remain,auth,4,3
354,1003738,remain,auth,5,5
355,1003738,remain,auth,6,4
356,1003738,remain,auth,7,5
357,1003738,remain,auth,8,4
358,1003738,remain,auth,9,5
359,1003738,remain,auth,10,3
360,1003738,remain,auth,11,2
361,1003738,remain,auth,12,4
362,1003738,remain,auth,13,4
363,1003738,remain,auth,14,4
364,1003738,remain,auth,15,5
365,1003738,remain,auth,16,7
366,1003738,remain,auth,17,3
367,1003738,remain,auth,18,3
368,1003738,remain,auth,19,3
369,1003738,remain,auth,20,3
370,1003738,remain,auth,21,3
371,1003739,remain,dom,1,4
372,1003739,remain,dom,2,4
373,1003739,remain,dom,3,4
374,1003739,remain,dom,4,1
375,1003739,remain,dom,5,6
376,1003739,remain,dom,6,5
377,1003739,remain,dom,7,1
378,1003739,remain,dom,8,2
379,1003739,remain,dom,9,4
380,1003739,remain,dom,10,1
381,1003739,remain,dom,11,4
382,1003739,remain,dom,12,2
383,1003739,remain,dom,13,2
384,1003739,remain,dom,14,3
385,1003739,remain,dom,15,1
386,1003739,remain,dom,16,3
387,1003739,remain,auth,1,4
388,1003739,remain,auth,2,3
389,1003739,remain,auth,3,3
390,1003739,remain,auth,4,2
391,1003739,remain,auth,5,4
392,1003739,remain,auth,6,3
393,1003739,remain,auth,7,7
394,1003739,remain,auth,8,6
395,1003739,remain,auth,9,4
396,1003739,remain,auth,10,4
397,1003739,remain,auth,11,4
398,1003739,remain,auth,12,2
399,1003739,remain,auth,13,2
400,1003739,remain,auth,14,3
401,1003739,remain,auth,15,3
402,1003739,remain,auth,16,3
403,1003739,remain,auth,17,3
404,1003739,remain,auth,18,3
405,1003739,remain,auth,19,3
406,1003739,remain,auth,20,5
407,1003739,remain,auth,21,1
408,1003740,remain,dom,1,5
409,1003740,remain,dom,2,1
410,1003740,remain,dom,3,3
411,1003740,remain,dom,4,4
412,1003740,remain,dom,5,2
413,1003740,remain,dom,6,2
414,1003740,remain,dom,7,2
415,1003740,remain,dom,8,5
416,1003740,remain,dom,9,3
417,1003740,remain,dom,10,2
418,1003740,remain,dom,11,1
419,1003740,remain,dom,12,2
420,1003740,remain,dom,13,4
421,1003740,remain,dom,14,3
422,1003740,remain,dom,15,3
423,1003740,remain,dom,16,5
424,1003740,remain,auth,1,4
425,1003740,remain,auth,2,6
426,1003740,remain,auth,3,6
427,1003740,remain,auth,4,4
428,1003740,remain,auth,5,2
429,1003740,remain,auth,6,4
430,1003740,remain,auth,7,4
431,1003740,remain,auth,8,4
432,1003740,remain,auth,9,4
433,1003740,remain,auth,10,4
434,1003740,remain,auth,11,2
435,1003740,remain,auth,12,4
436,1003740,remain,auth,13,2
437,1003740,remain,auth,14,1
438,1003740,remain,auth,15,5
439,1003740,remain,auth,16,3
440,1003740,remain,auth,17,3
441,1003740,remain,auth,18,4
442,1003740,remain,auth,19,3
443,1003740,remain,auth,20,4
444,1003740,remain,auth,21,6
445,1003741,remain,dom,1,1
446,1003741,remain,dom,2,4
447,1003741,remain,dom,3,2
448,1003741,remain,dom,4,3
449,1003741,remain,dom,5,2
450,1003741,remain,dom,6,3
451,1003741,remain,dom,7,5
452,1003741,remain,dom,8,3
453,1003741,remain,dom,9,4
454,1003741,remain,dom,10,1
455,1003741,remain,dom,11,3
456,1003741,remain,dom,12,5
457,1003741,remain,dom,13,3
458,1003741,remain,dom,14,1
459,1003741,remain,dom,15,1
460,1003741,remain,dom,16,1
461,1003741,remain,auth,1,2
462,1003741,remain,auth,2,5
463,1003741,remain,auth,3,5
464,1003741,remain,auth,4,4
465,1003741,remain,auth,5,4
466,1003741,remain,auth,6,4
467,1003741,remain,auth,7,3
468,1003741,remain,auth,8,4
469,1003741,remain,auth,9,2
470,1003741,remain,auth,10,1
471,1003741,remain,auth,11,5
472,1003741,remain,auth,12,3
473,1003741,remain,auth,13,6
474,1003741,remain,auth,14,4
475,1003741,remain,auth,15,4
476,1003741,remain,auth,16,3
477,1003741,remain,auth,17,4
478,1003741,remain,auth,18,4
479,1003741,remain,auth,19,5
480,1003741,remain,auth,20,3
481,1003741,remain,auth,21,3
482,1003742,remain,dom,1,2
483,1003742,remain,dom,2,2
484,1003742,remain,dom,3,2
485,1003742,remain,dom,4,4
486,1003742,remain,dom,5,1
487,1003742,remain,dom,6,2
488,1003742,remain,dom,7,3
489,1003742,remain,dom,8,3
490,1003742,remain,dom,9,3
491,1003742,remain,dom,10,2
492,1003742,remain,dom,11,1
493,1003742,remain,dom,12,3
494,1003742,remain,dom,13,4
495,1003742,remain,dom,14,1
496,1003742,remain,dom,15,4
497,1003742,remain,dom,16,3
498,1003742,remain,auth,1,2
499,1003742,remain,auth,2,4
500,1003742,remain,auth,3,4
501,1003742,remain,auth,4,4
502,1003742,remain,auth,5,3
503,1003742,remain,auth,6,4
504,1003742,remain,auth,7,4
505,1003742,remain,auth,8,3
506,1003742,remain,auth,9,5
507,1003742,remain,auth,10,3
508,1003742,remain,auth,11,5
509,1003742,remain,auth,12,3
510,1003742,remain,auth,13,2
511,1003742,remain,auth,14,2
512,1003742,remain,auth,15,5
513,1003742,remain,auth,16,1
514,1003742,remain,auth,17,4
515,1003742,remain,auth,18,3
516,1003742,remain,auth,19,4
517,1003742,remain,auth,20,3
518,1003742,remain,auth,21,5
519,1003743,remain,dom,1,2
520,1003743,remain,dom,2,2
