trial,run,cval,subj,value
22,1,0.21598749999999983,197,5
23,0,-0.025599999999999734,197,5
24,0,0.27180624999999947,197,5
25,-3,-0.07082499999999971,197,4
26,1,0.35858750000000045,197,5
27,0,-0.10495624999999963,197,2
28,-2,0.2026687499999998,197,1
29,0,0.3464812500000002,197,4
30,2,0.12851875000000004,197,5
31,0,0.3872187499999997,197,1
32,-2,0.2253875000000002,197,4
33,0,0.31505625000000015,197,5
34,2,-0.2742499999999999,197,5
35,-1,0.22532499999999997,197,2
36,0,-0.013912499999999961,197,1
37,2,-0.03253124999999984,197,5
38,-1,-0.20208749999999953,197,2
39,1,0.029150000000000464,197,5
40,-1,0.10046875,197,5
41,1,-0.1469,197,2
42,-1,-0.03478541666666643,197,5
43,1,-0.021093749999999783,197,4
44,-1,0.11704844720496851,197,3
45,1,-0.12583124999999987,197,5
46,0,0.44123749999999984,197,1
1,0,-0.2233740510697029,196,2
2,0,0.09732499999999972,196,4
3,-2,0.10465562456866807,196,4
4,1,0.5805875000000003,196,2
5,0,0.18607500000000005,196,4
6,0,-0.08833125000000037,196,4
7,-3,0.22338750000000018,196,5
8,0,0.3283657694962039,196,4
9,0,0.32836250000000033,196,2
10,3,-0.18778124999999984,196,4
11,-1,-0.0283687500000001,196,4
12,1,0.12621249999999984,196,4
13,0,0.36986666666666657,196,2
14,0,0.0158875000000001,196,2
15,-3,0.23757500000000026,196,4
16,1,0.1733437499999997,196,4
17,-1,0.056656250000000234,196,4
18,0,-0.015399999999999919,196,4
19,2,0.21528750000000038,196,2
20,0,0.00874999999999988,196,5
21,-2,-0.12069374999999981,196,0
22,1,0.02285972222222215,196,4
23,-1,0.013831250000000388,196,2
24,1,0.1367750000000005,196,4
25,0,0.08914027777777739,196,4
26,-2,0.043062500000000226,196,2
27,0,-0.024131249999999754,196,4
28,2,0.31154374999999973,196,4
29,-1,0.024912500000000354,196,5
30,1,0.17203125000000002,196,1
31,-1,-0.11106874999999974,196,4
32,0,0.07732499999999984,196,4
33,2,0.2966687500000002,196,2
34,-1,0.015562500000000085,196,4
35,1,-0.022406249999999694,196,2
36,-1,0.25022500000000003,196,5
37,1,-0.08303750000000011,196,4
38,-1,0.1804625000000002,196,2
39,0,0.08034374999999974,196,2
40,0,-0.3939187499999998,196,4
41,3,0.08544375000000015,196,2
42,0,-0.08573750000000008,196,4
43,-2,-0.09258124999999987,196,4
44,0,0.115475,196,4
45,2,0.25564375000000056,196,2
46,0,0.05629375000000002,196,4
1,0,1.0011304347826084,195,3
2,0,0.08900691823899388,195,4
3,-2,0.05130624999999998,195,4
4,0,0.09604374999999996,195,4
5,0,0.05894375000000002,195,3
6,3,0.091112491373361,195,2
7,-1,0.24586875000000016,195,2
8,0,0.03344715909090908,195,3
9,2,-0.11163124999999999,195,3
10,0,0.009068749999999912,195,2
11,-2,0.015968750000000184,195,2
12,1,0.12071875000000025,195,4
13,0,-3.7499999999938136e-4,195,3
14,-2,-0.0811250000000002,195,4
15,1,-0.13641249999999996,195,5
16,-1,-0.07426875000000002,195,4
17,1,0.16389375000000023,195,3
18,0,0.0605375000000001,195,3
19,-2,-0.13105625000000054,195,2
20,1,0.10980625000000017,195,4
21,0,-0.09711875000000006,195,3
22,0,-0.03872499999999983,195,4
23,-3,-0.04881249999999964,195,5
24,0,0.19639999999999946,195,3
25,0,-0.06594999999999991,195,3
26,3,-0.026475000000000325,195,2
27,0,-0.03651250000000026,195,1
28,0,0.08164829545454533,195,2
29,-3,-0.013806249999999859,195,4
30,1,0.3121624999999998,195,5
31,-1,-0.04803749999999983,195,4
32,0,-0.060199999999999886,195,3
33,2,-0.0814312500000002,195,3
34,-1,-0.05442499999999996,195,2
35,0,-0.024387499999999736,195,3
36,2,0.13486250000000002,195,3
37,-1,-0.08508749999999984,195,2
38,0,-0.05008749999999983,195,3
39,2,0.2188562499999997,195,3
40,-1,-0.048299999999999524,195,2
41,1,0.03421874999999991,195,4
42,-1,-0.00306226415094327,195,4
